target,model,fp,seed,split,rmse,mae,r2,spearman,ece,cov90,seconds
Tg,QuantileRandomForest,TopologicalTorsion,1,train,19.704816362460605,7.952176985778703,0.9693756209634509,0.08186867572141335,0.3281882298531622,0.9876864377384669,67.0
Tg,QuantileRandomForest,TopologicalTorsion,2,test,39.6657420866461,26.417066574202497,0.8732808388958588,0.36010529354861204,0.05671135768223144,0.8904299583911235,65.7
Tg,QuantileRandomForest,TopologicalTorsion,2,train,18.18792371605942,7.594276795005204,0.9739091182958084,0.07337813071751241,0.33578062974524986,0.9897676031911203,65.7
Tg,QuantileRandomForest,TopologicalTorsion,3,test,39.873363708008426,26.626692094313455,0.8719507998086995,0.4080199035632964,0.05416859300354444,0.8904299583911235,67.0
Tg,QuantileRandomForest,TopologicalTorsion,3,train,19.082759488043216,7.850466961498438,0.9712786492314212,0.08834889326314098,0.333429683585771,0.986819285466528,67.0
Tg,QuantileRandomForest,TopologicalTorsion,4,test,39.876561220355356,26.630218446601937,0.8719302620222,0.3992732628736545,0.059947603636924,0.8897364771151179,72.5
Tg,QuantileRandomForest,TopologicalTorsion,4,train,17.726992418645583,7.424711238293445,0.9752147887066231,0.06843084405539268,0.3378232550969284,0.9901144640998959,72.5
Tm,QuantileRandomForest,RDKit,0,test,60.16647676030481,41.37414285714286,0.7155773507066385,0.4189456208179949,0.048299319727891143,0.8979591836734694,860.2
Tm,QuantileRandomForest,RDKit,0,train,32.88704560301138,20.191886920980927,0.9084442366700297,0.1958248986903193,0.21359370269452013,0.9843324250681199,860.2
Tm,QuantileRandomForest,RDKit,1,test,59.50803015268663,41.007619047619045,0.7217685848280965,0.41871365787307036,0.0532879818594104,0.8952380952380953,36.8
Tm,QuantileRandomForest,RDKit,1,train,31.605892521237756,20.138518392370575,0.9154386155669274,0.20363333458187358,0.2194595821980018,0.9914850136239782,36.8
Tm,QuantileRandomForest,RDKit,2,test,61.24420504253865,41.94598639455783,0.7052966860344477,0.44265019570599706,0.0493575207860922,0.8965986394557823,36.2
