split,target,model,fp,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,ece_mean,ece_std,cov90_mean,cov90_std
test,TC,QuantileRandomForest,MACCS,5,0.054306764161618025,0.001625526866237072,0.037355875527426155,0.0003440585269307141,0.6212107109143836,0.022816639115546943,0.3058316816266811,0.015425176692249982,0.016779184247538693,0.002003664146933966,0.8645569620253164,0.01171313640716567
test,TC,QuantileRandomForest,Morgan,5,0.05564599852608789,0.0008985486331084574,0.036422845087402046,0.0005369859868384064,0.6025000039811255,0.01288899978468817,0.40428162274359913,0.02141616290520949,0.05527426160337555,0.007237684370250691,0.8227848101265822,0.011188398436496029
test,TC,QuantileRandomForest,RDKit,5,0.05126900583688302,0.0008643685018861548,0.034680205696202525,0.000735614522839125,0.6625672720420381,0.011296096863651049,0.33279984953705133,0.025400836587790868,0.020478199718706052,0.004063395564262021,0.8278481012658228,0.0061688571802588025
test,TC,QuantileRandomForest,TopologicalTorsion,5,0.05740234229872865,0.012480834739915085,0.03477020192887281,0.0016349824716355744,0.5611058392834476,0.20994198317186227,0.2848437552168181,0.029024882889734146,0.018874824191279914,0.0032201708000054183,0.8297468354430381,0.009855956647086987
test,TC,torch-GNN,graph,5,0.05911035729092405,0.0037328712463438503,0.04132807239735428,0.002763951341038578,0.5501277400364535,0.05604005240525216,,,,,0.0,0.0
test,TC,torch-GREA,graph,5,0.09842230471592485,0.021109164651979595,0.07887880826955104,0.02104974459024859,-0.28902285174807885,0.5999030920862933,-0.03368850126742437,0.07395491782896474,0.28253164556962024,0.17723247409739487,0.5063291139240507,0.3372592342088281
test,Tg,DropoutMLP,AtomPair,5,40.524788746593025,0.376250908844887,29.470549477811527,0.3593982576135776,0.8677235322250271,0.0024635589267147334,0.07458784774902735,0.0246558851620648,0.35142548928956696,0.014789290013947748,0.31650485436893205,0.03019073741740564
test,Tg,DropoutMLP,MACCS,5,42.621474463802215,0.7819094145385124,30.551710530104277,0.8983363401526611,0.8536526115956781,0.005396471939057038,0.17470875914513356,0.015828535021847865,0.30315919247958084,0.024732401139393016,0.39889042995839114,0.03939559644637375
test,Tg,DropoutMLP,Morgan,5,39.78403373365814,1.0804316026903724,27.84250949212939,0.8960253553967664,0.8724486916571681,0.006917817897717803,0.05238447309989108,0.018215640488453276,0.325335182616736,0.021228295322523034,0.3538141470180305,0.03466504737140116
test,Tg,DropoutMLP,RDKit,5,39.91935836729239,0.4481069134157453,27.94966761660985,0.5270314714184169,0.8716422772869794,0.002883721308264485,0.13101132874348614,0.018181525693315673,0.2867468022807829,0.0090619931758963,0.4400832177531207,0.01339873305158241
test,Tg,DropoutMLP,TopologicalTorsion,5,40.79409606791772,0.8317311766474018,27.98147716017987,0.779718792945605,0.8659242754913773,0.0054979302734635815,0.1665619660129138,0.03679505961304333,0.31806133456618896,0.01099807115581902,0.37988904299583914,0.024588776859170502
